binned_latitude,binned_longitude,binned_house_age,binned_number_of_convenience_stores,distance_to_nearest_MRT,house_price_of_unit_area
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(8.0, 10.0]",84.87882,37.9
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(8.0, 10.0]",306.5947,42.2
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",561.9845,47.3
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",561.9845,54.8
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",390.5684,43.1
"(24.949, 24.965]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",2175.03,32.1
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",623.4731,40.3
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(4.0, 6.0]",287.6025,46.7
"(24.949, 24.965]","(121.473, 121.492]","(26.28, 35.04]","(-0.01, 2.0]",5512.038,18.8
"(24.965, 24.982]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",1783.18,22.1
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(-0.01, 2.0]",405.2134,41.4
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",90.45606,58.1
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",492.2313,39.3
"(24.949, 24.965]","(121.492, 121.511]","(17.52, 26.28]","(2.0, 4.0]",2469.645,23.8
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",1164.838,34.3
"(24.982, 24.998]","(121.529, 121.548]","(35.04, 43.8]","(-0.01, 2.0]",579.2083,50.5
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",292.9978,70.1
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(-0.01, 2.0]",350.8515,37.4
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",368.1363,42.3
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",23.38284,47.7
"(24.949, 24.965]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",2275.877,29.3
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",279.1726,51.6
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1360.139,24.6
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",279.1726,47.9
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(2.0, 4.0]",480.6977,38.8
"(24.965, 24.982]","(121.511, 121.529]","(26.28, 35.04]","(-0.01, 2.0]",1487.868,27.0
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",383.8624,56.2
"(24.949, 24.965]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",276.449,33.6
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(2.0, 4.0]",557.478,47.0
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",451.2438,57.1
"(24.932, 24.949]","(121.492, 121.511]","(17.52, 26.28]","(-0.01, 2.0]",4519.69,22.1
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",769.4034,25.0
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(-0.01, 2.0]",488.5727,34.2
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",323.655,49.3
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",205.367,55.1
"(24.998, 25.015]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",4079.418,27.3
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1935.009,22.9
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1360.139,25.3
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",577.9615,47.7
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,46.2
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4082.015,15.9
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4066.587,18.2
"(24.949, 24.965]","(121.529, 121.548]","(35.04, 43.8]","(4.0, 6.0]",519.4617,34.7
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",512.7871,34.1
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(2.0, 4.0]",533.4762,53.9
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",488.8193,38.3
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(8.0, 10.0]",463.9623,42.0
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(2.0, 4.0]",640.7391,61.5
"(24.932, 24.949]","(121.492, 121.511]","(17.52, 26.28]","(-0.01, 2.0]",4605.749,13.4
"(24.949, 24.965]","(121.492, 121.511]","(26.28, 35.04]","(-0.01, 2.0]",4510.359,13.2
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(2.0, 4.0]",512.5487,44.2
"(24.949, 24.965]","(121.548, 121.566]","(26.28, 35.04]","(-0.01, 2.0]",1758.406,20.7
"(24.965, 24.982]","(121.511, 121.529]","(26.28, 35.04]","(2.0, 4.0]",1438.579,27.0
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",492.2313,38.9
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,51.7
"(24.949, 24.965]","(121.529, 121.548]","(26.28, 35.04]","(-0.01, 2.0]",1160.632,13.7
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",371.2495,41.9
"(24.949, 24.965]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",56.47425,53.5
"(24.949, 24.965]","(121.492, 121.511]","(26.28, 35.04]","(-0.01, 2.0]",4510.359,22.6
"(24.949, 24.965]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",336.0532,42.4
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1931.207,21.3
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",259.6607,63.2
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",2175.877,27.7
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(2.0, 4.0]",533.4762,55.0
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",995.7554,25.3
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",123.7429,44.3
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",193.5845,50.7
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",104.8101,56.8
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",464.223,36.2
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",561.9845,42.0
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",90.45606,59.0
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(2.0, 4.0]",640.7391,40.8
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",424.5442,36.3
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4082.015,20.0
"(24.982, 24.998]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",379.5575,54.4
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1360.139,29.5
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(2.0, 4.0]",616.4004,36.8
"(24.949, 24.965]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",2185.128,25.6
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(-0.01, 2.0]",552.4371,29.8
"(24.949, 24.965]","(121.548, 121.566]","(17.52, 26.28]","(-0.01, 2.0]",1414.837,26.5
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",533.4762,40.3
"(24.949, 24.965]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",377.7956,36.8
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",150.9347,48.1
"(24.949, 24.965]","(121.492, 121.511]","(17.52, 26.28]","(2.0, 4.0]",2707.392,17.7
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",383.2805,43.7
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",338.9679,50.8
"(24.949, 24.965]","(121.548, 121.566]","(-0.0438, 8.76]","(-0.01, 2.0]",1455.798,27.0
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4066.587,18.3
"(24.982, 24.998]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1406.43,48.0
"(24.932, 24.949]","(121.492, 121.511]","(17.52, 26.28]","(-0.01, 2.0]",3947.945,25.3
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(-0.01, 2.0]",274.0144,45.4
"(24.982, 24.998]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1402.016,43.2
"(24.949, 24.965]","(121.492, 121.511]","(17.52, 26.28]","(2.0, 4.0]",2469.645,21.8
"(24.949, 24.965]","(121.529, 121.548]","(26.28, 35.04]","(-0.01, 2.0]",1146.329,16.1
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(4.0, 6.0]",167.5989,41.0
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",104.8101,51.8
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",90.45606,59.5
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(2.0, 4.0]",617.4424,34.6
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,51.0
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",90.45606,62.2
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",964.7496,38.2
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(-0.01, 2.0]",170.1289,32.9
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",193.5845,54.4
"(24.949, 24.965]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",208.3905,45.7
"(24.949, 24.965]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",392.4459,30.5
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",292.9978,71.0
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",189.5181,47.1
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1360.139,26.6
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(-0.01, 2.0]",592.5006,34.1
"(24.949, 24.965]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",2147.376,28.4
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",104.8101,51.6
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",196.6172,39.4
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",2102.427,23.1
"(24.949, 24.965]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",393.2606,7.6
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",143.8383,53.3
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(-0.01, 2.0]",737.9161,46.4
"(24.932, 24.949]","(121.473, 121.492]","(26.28, 35.04]","(-0.01, 2.0]",6396.283,12.2
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4197.349,13.0
"(24.965, 24.982]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",1583.722,30.6
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,59.6
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",492.2313,31.3
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",492.2313,48.0
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(2.0, 4.0]",414.9476,32.5
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(-0.01, 2.0]",185.4296,45.5
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",279.1726,57.4
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",193.5845,48.6
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(2.0, 4.0]",804.6897,62.9
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",383.8624,55.0
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(4.0, 6.0]",124.9912,60.7
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",216.8329,41.0
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",535.527,37.5
"(24.949, 24.965]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",2147.376,30.7
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",482.7581,37.5
"(24.982, 24.998]","(121.529, 121.548]","(17.52, 26.28]","(6.0, 8.0]",373.3937,39.5
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",186.9686,42.2
"(24.949, 24.965]","(121.548, 121.566]","(17.52, 26.28]","(-0.01, 2.0]",1009.235,20.8
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",390.5684,46.8
"(24.949, 24.965]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",319.0708,47.4
"(24.965, 24.982]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",942.4664,43.5
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",492.2313,42.5
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,51.4
"(24.965, 24.982]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",1559.827,28.9
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(4.0, 6.0]",640.6071,37.5
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",492.2313,40.1
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1360.139,28.4
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",451.2438,45.5
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(-0.01, 2.0]",185.4296,52.2
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",489.8821,43.2
"(24.932, 24.949]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",3780.59,45.1
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",179.4538,39.7
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",170.7311,48.5
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",387.7721,44.7
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1360.139,28.9
"(24.949, 24.965]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",376.1709,40.9
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4066.587,20.7
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4082.015,15.6
"(24.949, 24.965]","(121.529, 121.548]","(26.28, 35.04]","(-0.01, 2.0]",1264.73,18.3
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",815.9314,35.6
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",390.5684,39.4
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",815.9314,37.4
"(24.949, 24.965]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",49.66105,57.8
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(2.0, 4.0]",616.4004,39.6
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4066.587,11.6
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",104.8101,55.5
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(-0.01, 2.0]",185.4296,55.2
"(24.965, 24.982]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1236.564,30.6
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",292.9978,73.6
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",330.0854,43.4
"(24.949, 24.965]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",515.1122,37.4
"(24.949, 24.965]","(121.548, 121.566]","(-0.0438, 8.76]","(-0.01, 2.0]",1962.628,23.5
"(24.932, 24.949]","(121.492, 121.511]","(17.52, 26.28]","(-0.01, 2.0]",4527.687,14.4
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",383.8624,58.8
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",90.45606,58.1
"(24.982, 24.998]","(121.529, 121.548]","(35.04, 43.8]","(2.0, 4.0]",401.8807,35.1
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",432.0385,45.2
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(2.0, 4.0]",472.1745,36.5
"(24.949, 24.965]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4573.779,19.2
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(8.0, 10.0]",181.0766,42.0
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",1144.436,36.7
"(24.965, 24.982]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",438.8513,42.6
"(24.949, 24.965]","(121.492, 121.511]","(26.28, 35.04]","(-0.01, 2.0]",4449.27,15.5
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",201.8939,55.9
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",2147.376,23.6
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4082.015,18.8
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",2615.465,21.8
"(24.965, 24.982]","(121.511, 121.529]","(26.28, 35.04]","(2.0, 4.0]",1447.286,21.5
"(24.949, 24.965]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",2185.128,25.7
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",3078.176,22.0
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",190.0392,44.3
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4066.587,20.5
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",616.5735,42.3
"(24.965, 24.982]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",750.0704,37.8
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",57.58945,42.7
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",421.479,49.3
"(24.932, 24.949]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",3771.895,29.3
"(24.949, 24.965]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",461.1016,34.6
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(-0.01, 2.0]",707.9067,36.6
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",126.7286,48.2
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",157.6052,39.1
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(6.0, 8.0]",451.6419,31.6
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",995.7554,25.5
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",561.9845,45.9
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(2.0, 4.0]",642.6985,31.5
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,46.1
"(24.949, 24.965]","(121.548, 121.566]","(17.52, 26.28]","(-0.01, 2.0]",1414.837,26.6
"(24.965, 24.982]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",1449.722,21.4
